sequence,status,send_time_epoch,recv_time_epoch,send_time_iso,recv_time_iso,rtt_us,packet_size_bytes,from_ip,from_port,error
170,ok,1769521223.725826979,1769521223.726399660,2026-01-27T15:40:23.725827,2026-01-27T15:40:23.726400,572.68,64,192.168.10.30,5005,
171,ok,1769521223.729210138,1769521223.729857683,2026-01-27T15:40:23.729210,2026-01-27T15:40:23.729858,647.54,64,192.168.10.30,5005,
172,ok,1769521223.732712746,1769521223.733367205,2026-01-27T15:40:23.732713,2026-01-27T15:40:23.733367,654.46,64,192.168.10.30,5005,
173,ok,1769521223.736251116,1769521223.736880302,2026-01-27T15:40:23.736251,2026-01-27T15:40:23.736880,629.19,64,192.168.10.30,5005,
174,ok,1769521223.739830017,1769521223.740534067,2026-01-27T15:40:23.739830,2026-01-27T15:40:23.740534,704.05,64,192.168.10.30,5005,
175,ok,1769521223.743481636,1769521223.744117022,2026-01-27T15:40:23.743482,2026-01-27T15:40:23.744117,635.39,64,192.168.10.30,5005,
176,ok,1769521223.746982098,1769521223.747596264,2026-01-27T15:40:23.746982,2026-01-27T15:40:23.747596,614.17,64,192.168.10.30,5005,
177,ok,1769521223.750441790,1769521223.751009464,2026-01-27T15:40:23.750442,2026-01-27T15:40:23.751009,567.67,64,192.168.10.30,5005,
178,ok,1769521223.753840685,1769521223.754408598,2026-01-27T15:40:23.753841,2026-01-27T15:40:23.754409,567.91,64,192.168.10.30,5005,
179,ok,1769521223.757220030,1769521223.757794619,2026-01-27T15:40:23.757220,2026-01-27T15:40:23.757795,574.59,64,192.168.10.30,5005,
180,ok,1769521223.760614395,1769521223.761248827,2026-01-27T15:40:23.760614,2026-01-27T15:40:23.761249,634.43,64,192.168.10.30,5005,
181,ok,1769521223.764114857,1769521223.764735699,2026-01-27T15:40:23.764115,2026-01-27T15:40:23.764736,620.84,64,192.168.10.30,5005,
182,ok,1769521223.767602205,1769521223.768279076,2026-01-27T15:40:23.767602,2026-01-27T15:40:23.768279,676.87,64,192.168.10.30,5005,
183,ok,1769521223.771153927,1769521223.771855831,2026-01-27T15:40:23.771154,2026-01-27T15:40:23.771856,701.90,64,192.168.10.30,5005,
184,ok,1769521223.774891376,1769521223.775623083,2026-01-27T15:40:23.774891,2026-01-27T15:40:23.775623,731.71,64,192.168.10.30,5005,
185,ok,1769521223.778635979,1769521223.779331684,2026-01-27T15:40:23.778636,2026-01-27T15:40:23.779332,695.71,64,192.168.10.30,5005,
